[2017-09-19 10:31:29,993: INFO/MainProcess] Received task: main.tasks.check_future[9168eaee-f376-46cc-8942-74b6468fa1c8]  
[2017-09-19 10:31:30,001: INFO/ForkPoolWorker-1] Checking for games in PLAYING state. FOUND: 0
[2017-09-19 10:31:30,247: INFO/ForkPoolWorker-1] Task main.tasks.check_playing[3b82a223-c46c-45c9-b190-dd6a100b34f1] succeeded in 0.264991538000686s: None
[2017-09-19 10:31:30,357: INFO/ForkPoolWorker-4] Task main.tasks.check_future[9168eaee-f376-46cc-8942-74b6468fa1c8] succeeded in 0.3631956499993976s: None
[2017-09-19 10:31:32,989: INFO/MainProcess] Received task: main.tasks.check_future[54bfffef-a10d-4368-9185-0e022c200207]  
[2017-09-19 10:31:32,995: INFO/MainProcess] Received task: main.tasks.check_playing[fea683a3-050e-4070-9b2d-b005d090eb11]  
[2017-09-19 10:31:33,013: INFO/ForkPoolWorker-4] Checking for games in PLAYING state. FOUND: 0
[2017-09-19 10:31:33,138: INFO/ForkPoolWorker-1] Task main.tasks.check_future[54bfffef-a10d-4368-9185-0e022c200207] succeeded in 0.14703052900040348s: None
[2017-09-19 10:31:33,200: INFO/ForkPoolWorker-4] Task main.tasks.check_playing[fea683a3-050e-4070-9b2d-b005d090eb11] succeeded in 0.20346428100037883s: None
[2017-09-19 10:31:35,996: INFO/MainProcess] Received task: main.tasks.check_playing[8135c6bb-f55b-46c2-89b6-68ca75f24162]  
[2017-09-19 10:31:36,006: INFO/MainProcess] Received task: main.tasks.check_future[82457bcc-4429-4486-bc23-0c8444ff37cf]  
[2017-09-19 10:31:36,013: INFO/ForkPoolWorker-1] Checking for games in PLAYING state. FOUND: 0
[2017-09-19 10:31:36,021: WARNING/ForkPoolWorker-4] MAKING NEW REQUEST: https://livecache.sportresult.com/node/db/FIBASTATS_PROD/12105_GAMEACTIONS_BKM400405_Q1_JSON.json?s=534&t=0
[2017-09-19 10:31:36,115: WARNING/ForkPoolWorker-4] MAKING NEW REQUEST: https://livecache.sportresult.com/node/db/FIBASTATS_PROD/12105_GAME_BKM400405_JSON.json?s=534&t=0
[2017-09-19 10:31:36,176: INFO/ForkPoolWorker-1] Task main.tasks.check_playing[8135c6bb-f55b-46c2-89b6-68ca75f24162] succeeded in 0.17891092199988634s: None
[2017-09-19 10:31:36,241: WARNING/ForkPoolWorker-4] MAKING NEW REQUEST: https://livecache.sportresult.com/node/db/FIBASTATS_PROD/12105_GAME_BKM400405_JSON.json?s=534&t=0
[2017-09-19 10:31:36,326: WARNING/ForkPoolWorker-4] MAKING NEW REQUEST: https://livecache.sportresult.com/node/db/FIBASTATS_PROD/12105_STANDINGDATA_JSON.json?s=534&t=0
